Title,Date,Images,Paragraphs
Injecting some sass,10 APR 2021,"[https://blog.ankitsanghvi.in/content/images/2021/04/sassvcss.png], [https://blog.ankitsanghvi.in/content/images/2021/04/sccstocss.png], [https://blog.ankitsanghvi.in/content/images/2021/04/sassandcss-1.png], ","[Giving your CSS superpowers using the Sass language extension], [Read more posts by this author.], [Sass (Syntactically Awesome Style Sheets) is the most popular solution to writing well-structured, cross-browser supported CSS in the most developer friendly way possible.
Once you switch to this next level transpiling option, there is absolutely no chance that you're going back to writing styling of nested elements the way CSS forces you to], [It's just about following these 4 steps that'll save you tonnes of time and energy that CSS takes up], [Create a separate folder called sass and create a main file called styles.scss (arbitrary name) inside of it. Also, create a folder called css and create a file styles.css (arbitrary name)], [Install a compiler], [Feel free to create more supporting files to compartmentalize your code into smaller CSS modules by following these 2 rules], [Next, create a .vscode (for VSCode users) or .idea (for WebStorm users) folder where you set up a configuration file mapping the source file (styles.scss in sass folder) to the destination file (styles.css in the css folder).
This basically just tells your transpiler to take all the code imported from separate CSS modules and the code present in your source file to be compiled into the destination CSS file that can be globally imported into your project's top level component], [Sass is basically CSS with superpowers. I've listed the most common ones that you'll be working with most of the time], [You can store things like colors, font stacks, or any CSS value you think you'll want to reuse. Sass uses the $ symbol to make something a variable. Here's an example:], [You'll notice that the ul, li, and a selectors are nested inside the nav selector. This is a great way to organize your CSS and make it more readable.], [You can even pass in values to make your mixin more flexible. A good use of a mixin is for vendor prefixes. Here's an example for transform.], [This is how you can get upto 95% reduction in the number of lines you code by writing styling in Sass instead of CSS], [And that is how, in 5 easy steps, you go from a junior developer to an experienced frontend engineer writing extensible, reusable, readable code that is enjoyable to read and work upon !], [If you're interested in checking out more of the CSS superpowers that Sass and other CSS language extensions like Less grant, I would highly recommend you to go read their own beautifully written and explained docs.], [Get the latest posts delivered right to your inbox], [31 Mar 2021 – 5 min read], [Learning the OOP way to execute different algorithms in different situations using the Strategy Pattern], [A mini-project on implementing autocomplete functionality in your search bar], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Autocomplete,10 APR 2021,"[https://blog.ankitsanghvi.in/content/images/2021/04/autocomplete.gif], ","[A mini-project on implementing autocomplete functionality in your search bar], [Read more posts by this author.], [Thankfully, simple sorting and filtering solutions like implementing autocomplete in frontend technologies save us the effort and time and also introduces a layer input validation by abstracting away most of the form selection logic away from the user.], [Autocomplete is just about 3 things,], [So right here, we are going to build a simple HTML input element using JSX and fill it dynamically with search results from the Pokemon API as the user keeps typing more characters], [Obviously, you'll need a frontend technology to implement this. I am choosing React as I'm really comfortable with it but you can choose any technology or framework of your choice], [Pretty simple, nothing to worry about. Remember, we just gotta do 4 things. Nice and smooth, right ?], [The following table is an easy explainer on how this feature is implemented using simple state management], [

], [The following table is an easy explainer on how React hooks (basically just getter-setter functions of state) help us connect state management to UI re-rendering], [Hardly a few paragraphs since the logic is just simple and pure], [That's all there is, to this amazing functionality. You can now do interesting things with the fetching, sorting and filtering parts by integrating smart technologies like Elasticsearch to filter through large database at lightning speeds and pinpoint accuracy to show the most relevant results to the user.], [Alternatively, you could also use something like Algolia, that provides an out-of-the-box integration of ""smart searching"" with ""UI re-rendering"" and just exposes simple to implement components that help you do this.], [Either ways, you now have the power to create powerful search features with enhanced UI/UX for your frontend apps !], [Get the latest posts delivered right to your inbox], [29 Apr 2022 – 7 min read], [Giving your CSS superpowers using the Sass language extension], [Using the iterator pattern to abstract unnecessary complications in iteration logic as type of collection changes], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Next JS,6 APR 2021,,"[An overview of the future of fast, SEO optimized frontend web software using the Next JS framework], [Read more posts by this author.], [Pages are rendered at build time], [FEATURES :], [DRAWBACKS], [APPLICATION], [Pages are rendered at build time], [FEATURES], [DRAWBACKS], [Regenerate pages in the background], [A file structure that mimics the routing setup in the app], [Implementing SSG], [1.  getStaticProps( ) ⇒  tells Next to pre-fetch the props for the component's prerendering], [2.  getStaticPaths( ) ⇒  tells Next to pre-fetch the dynamic paths for the component's prerendering], [3. getServerSideProps( ) ⇒ Fetches the props for the component's rendering at request time], [Custom MetaTag component], [NOTE : ""serve"" is an NPM package to serve static sites, SPAs, static files], [Technologies embracing these performance and SEO optimizing technologies are already taking over the software development decisions by a storm and soon they'll be industry standard.
It's gonna be a exciting future of saying goodbye to slow and irrelevant clickbait webapges], [Get the latest posts delivered right to your inbox], [14 Apr 2022 – 3 min read], [12 Apr 2021 – 2 min read], [10 Apr 2021 – 4 min read], [An excerpt on implementing undo mechanism in software applications using the Memento Pattern], [Understanding grouping of small, related commits into more significant commits], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Iterator Pattern,9 APR 2021,"[https://blog.ankitsanghvi.in/content/images/2021/04/Iterator-Pattern---concept-1.png], [https://blog.ankitsanghvi.in/content/images/2021/04/Iterator-Pattern---app.png], [https://test-bucket-1841.s3.amazonaws.com/blog-images/design-patterns/memento-pattern/eye.gif], ","[Using the iterator pattern to abstract unnecessary complications in iteration logic as type of collection changes], [Read more posts by this author.], [The Iterator Pattern is used basically when you have a collection of items you wish to iterate over, but don't exactly know how the collection has been implemented as (is it a list ? is it a stack ? etc).], [Thus, we simply abstract away the logic of iteration to an interface and make sure that the user's of this interface are exposed to the same set of methods for iteration, irrespective of what our collection is implemented as], [Think of the interface as your TV remote and the methods as the buttons. No matter what circuitry logic is implemented under the hood, inside the remote, you (the user of this interface) simply need to know that which button does what and it does it !], [Eg : Browser history, depending on your browser may either be stored as a List of Strings or an Array (implemented as a stack) of strings], [Thus, every time the implementation of the collection is changed, we just need to create a new Iterator Type which will handle the under-the-hood-logic of this new implementation of our collection, so users can again easily iterate over it], [The source code for all prominent design patterns has been properly implemented and documented in this GitHub repostitory by me.‌], [Here, in this article, we will be building a simple collection of browser history URLs implemented differently (as a list and as a stack) and their corresponding iterators for handling the same], [‌], [Each such class contains all the iteration logic over a particular implementation of the collection (eg : List, Stack) but abstracts away all this logic, serving up only 3 methods, as enliseted by the Iterator interface.‌], [Import all the necessary classes and modules into main.java for a final showdown of our application ! I have used the BrowseHistoryForArray.java implementation here but you can go forward and try out the List implementation (BrowseHistoryForList.java) as well.], [What basically happens when the implmentation of collection changes :], [Congrats on unlocked the secret of how the most complex iterations are made simple by workings under the hood. You should feel pretty comfortable now developing the next level iteration functionalities in your applications. Until next time...‌], [‌], [Whatever I have learnt and implemented here in code as well as the explanation is all from the teachings of the brilliant Mosh Hamedani and his course on Design Patterns which I would recommend you to take if you are really interested in exploring the beauty of Object Oriented Programming], [Get the latest posts delivered right to your inbox], [16 Apr 2021 – 5 min read], [15 Apr 2021 – 5 min read], [12 Apr 2021 – 5 min read], [A mini-project on implementing autocomplete functionality in your search bar], [A brief explainer on creating fast, interactive dashboards and data visualizations with D3.JS and Next.JS], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Steering at 190kmph,16 APR 2021,"[https://lh6.googleusercontent.com/GiEl8duQOOOgO7zihlOb7Kv01A7cRUGc3f3IbLCHYIpOSsBnrpVufr1xzYxAForkq8nN7L1AQ91ODEKuLpdoh_ScIcYy9gdD0OP9_PKFIJTbC5Y6IbC6C3j1Q5f86cOQ4Sh3Y61r], [https://blog.ankitsanghvi.in/content/images/2021/04/SW.gif], ","[Designing a lightweight, strong, customizable, comfortable steering wheel for a racecar], [Read more posts by this author.], [The steering wheel is one of the most integral components in an automobile considering the handling of the driver is directly associated with it, more so, while desigining a race car], [Race car steering wheels are the most subtle yet most complex components when seen from a product designing point of view. They need to provide full accessibility and control over most of the car's units to the driver whilst ensuring that she/he doesn't strain her/his time or energy just trying to reach the right button], [Also, there is the question of :], [Mulling over all these questions in mind, I was designing the 1st steering wheel for the final combustion car my institute motorsports team, Raftar Formula Racing (IIT Madras) would make, before migrating to an electric vehicle.], [Our car's top speed at that time was 190kmph and the engine was powered by that of a KTM 390 superbike. So you can only imagine the vibrational load that the steering wheel would encounter under high speeds 🤯], [It took the team over 5 drawing iterations, 4 simulation loopbacks, 6 paddle shifter ideas and several other ways to make the wheel light, accessible and customizable
Whilst I was handling creation of the parts and the assembly, this project could not have been possible without the help and support from my team members Kulma, Ithan, Karthik, Shriram, Sahoo, Keshav, Abhiram and Sailesh], [This project was carried out in 3 main phases :], [I started off by studying the previous steering wheel and initially just had the thought of optimizing it a bit but what resulted was something unexpected, arduous but astoundingly inspiring !], [This majorly did 2 things], [This was the most gruelling and difficult design part. We had to use the least number of components whilst making it all work like clockwork for the driver using it
We chose this as a component because of the driver comfort it would give as opposed to stretching out thumbs to hit the buttons to shift up and down], [We went through so many models and iterations that it was pretty surprising when we decided to scrap all that we'd seen and put up our own simple, unique design as the solution to it all], [However, this was rejected due to 3 main reasons :], [I was now assigned the task of coming up with my own idea for the entire design and actuation of paddle shifter.], [I tried to copy this design to a great extent but finally it was rejected due to the following reasons :], [That's how we came up with the design of the coolest,cheapest and most comfortable and customizable steering wheel design for the drivers of the RFR21 car that we virtually built and simulated, owing to the COVID19 pandemic in 2021 that had us all under lockdown.], [It was one heck of a journey designing this beaut, right from sketching out plate diagrams, making thermocol models, brainstorming designs and even arguing to no end about the minute tweaks each design iteration would bring.💪], [The rough mockup design], [The final design], [This final image is something that always puts a smile on each of the associated project member's face and even got applauded by the judges in the national level Formula Bharat as a simplistic, unique approach, unexplored before🔥], [Next year, we go on to build our 1st electric vehicle, RFR22 and boy is that one gonna be an even more thrilling journey with all the chassis and powertrain being designed from scratch !🚀], [I hope you enjoyed reading this blog and I'll see you next time with a high performance electric racecar steering wheel ......], [Get the latest posts delivered right to your inbox], [The first of many chapters in my journey of working at the startup - Farmako Healthcare], [Understanding the roots of state management with the Observer Pattern], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Memento Pattern,7 APR 2021,,"[An excerpt on implementing undo mechanism in software applications using the Memento Pattern], [Read more posts by this author.], [The Memento Pattern is one of the most well-known and commonly used Structural Design Patterns.], [It uses Object Oriented Programming principles in a 3 class setup to easily implement undo mechanisms used in most software editors, ranging from VSCode and Google Docs to Photoshop and most browsers' go-back features.], [The source code for all prominent design patterns has been properly implemented and documented in this GitHub repostitory by me.], [Also known as the Caretaker], [Also known as the Memento], [Also known as the Originator], [Import and call the following in your main class :], [Congrats on unlocked the secret of how a computer reverses time. You should feel pretty comfortable now developing the undo and redo functionalities in your applications. Until next time...], [Whatever I have learnt and implemented here in code as well as the explanation is all from the teachings of the brilliant Mosh Hamedani and his course on Design Patterns which I would recommend you to take if you are really interested in exploring the beauty of Object Oriented Programming], [Get the latest posts delivered right to your inbox], [16 Apr 2021 – 5 min read], [15 Apr 2021 – 5 min read], [12 Apr 2021 – 5 min read], [Understanding how the state-change-reactiveness of modern software is implemented by studying the state pattern], [An overview of the future of fast, SEO optimized frontend web software using the Next JS framework], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Smart and Dumb Components,6 APR 2021,,"[An examination of a new method of structuring your component driven applications in a systematic manner], [Read more posts by this author.], [There’s a simple pattern I find immensely useful when writing React applications. If you’ve been doing React for a while, you have probably already discovered it.

You’ll find your components much easier to reuse and reason about if you divide them into two categories. I call them Container and Presentational components but I also heard Fat and Skinny, Smart and Dumb, Stateful and Pure, Screens and Components, etc. These all are not exactly the same, but the core idea is similar.], [Thus, structuring your React components in a proper manner will go a long way in building extensible, reusable and scalable software. Also, there's the aspect of reducing the complexity of a large codebase into more of a microservice-like-architecture for better maintenance and developer experience because, at the end of the day, a project is only as good as the energy of the team of developers working on it !!], [Get the latest posts delivered right to your inbox], [14 Apr 2022 – 3 min read], [12 Apr 2021 – 2 min read], [10 Apr 2021 – 4 min read], [Understanding grouping of small, related commits into more significant commits], [A tutorial on authenticating your frontent React apps with Google Firebase Auth service], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Git Squash and Rebase,6 APR 2021,,"[Understanding grouping of small, related commits into more significant commits], [Read more posts by this author.], [more and more developers start collaborating and the entire branching in the project becomes one big, complex pile of commits flying in and out from branches and suddenly, understanding of the significance of a group of commits from a branch or by a developer starts to disappear.], [This is where the squash and rebase features shine and help the version control become a lot easier to develop and follow], [Out of the gate, the goal of both merging and rebasing is to take commits from a feature branch and put them onto another branch. Let’s start with how a quote-on-quote “normal” merge makes that happen.], [Say I have a graph that looks like this. As you can see, I split off my feature branch at commit 2, and have done a bit of work.], [At this point, I think I better mention some caveats.], [On the development team I work with, we’ve successfully adopted the workflow I’m about to show you and it works well for us.], [When I start development I always make sure the code on my local machine is synced to the latest commit from remote master], [Next, I’ll check out a new branch so I can write and commit code to this branch – keeping my work separated from the master branch], [As I’m developing my feature, I’ll make a few commits…], [Note: while I’m developing it’s likely that my fellow developers will have shipped some of their own changes to remote master. That’s ok, we can deal with that later.], [Now that I’m done developing my feature, I want to merge my changes back into remote master. To begin this process I’ll switch back to local master branch and pull the latest changes. This ensures my local machine has any new commits submitted by my teammates.], [What I want to do now is make sure my feature will jive with any new changes from remote master. To do this, I’ll checkout my feature branch and rebase against my local master. This will re-anchor my branch against the latest changes I just pulled from remote master. Additionally at this point, Git will let me know if I have any conflicts and I can take care of them on my branch], [Now that my feature branch doesn’t have any conflicts, I can switch back to my master branch and place my changes onto master.], [Since I synced with remote master before doing the rebase, I should be able to push my changes up to remote master without issues.], [ANALOGY - Writing a book], [Merging - Publishing the original draft of the book indicating the thought workflow from start to finish in its raw form], [Rebasing - Publishing a more concise, edited and reviewed draft of this book in a way that is best for future readers.], [Say I have a graph that looks like this. You can see I split off some commits onto a bug fix branch:], [Squashing allows you to rewrite history and combine together commits.], [Now that you know what squash is, let’s take a look the actual commands. Again, we’ll say my starting point is my bug fix branch with 3 commits.], [It would be nice if I didn’t have to preserve these extraneous commits as separate entities since they are all related to a bug fix. I’d rather combine them together into one clean commit.], [With my bug fix branch checked out, I’ll start by running the interactive rebase command with HEAD~3. This lets Git know I want to operate on the last three commits back from HEAD.], [Git will open up your default terminal text editor (most likely vim) and present you with a list of commits:], [There are a couple options here, but we’ll go ahead and mark commits we’d like to meld with it’s successor by changing pick to squash. (If you’re using VIM, type i to enter insert mode)], [Press ESC then type :wq to save and exit the file (if you are using VIM)], [At this point Git will pop up another dialog where you can rename the commit message of the new, larger squashed commit:], [Simply saving this file without making changes will result in a single commit with a commit message that is a concatination of all 3 messages. If you’d rather rename your new commit entirely, comment out each commit’s message, and write you’re own. Once you’ve done, save and exit:], [I think the merge approach is a more systematic approach to logging and developing commit messages in large codebases. Nevertheless, the importance of viewing raw history can't be overlooked as well. That's some food for thought. Until next time.....], [Get the latest posts delivered right to your inbox], [An overview of the future of fast, SEO optimized frontend web software using the Next JS framework], [An examination of a new method of structuring your component driven applications in a systematic manner], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
React-Firebase auth,5 APR 2021,,"[A tutorial on authenticating your frontent React apps with Google Firebase Auth service], [Read more posts by this author.], [Authentication is the means of verifying that a person is who they claim to be based on 3 things :], [Integrating authentication with frontend applications can be quite cumbersome and verbose using conventional methods like JSON Web Tokens as all the logic handling for encrypting and decrypting has to be written by the developer], [This is where Google Firebase's Authentication comes as a relief, helping the developer setup authentication using not just custom email and password, but even Single Sign On features with over 15 options including Facebook, GitHub, Apple etc,], [SSO is the ability to sign into a third party website instead of creating a new login account specifically for that website.], [All the code for this project can be accessed from here], [This project is consisting of 2 main parts :], [Run these commands to install the necessary packages], [Create an account on Google Firebase and create a project (it's completely FREE).], [Then, just add an application to this project and get all the connection info about this project], [This is simply involving just exporting the necessary stuff out of Firebase API in one file to handle all Firebase API related stuff, to be used in components and logic elsewhere.], [Next, we write the context code keeping these things in mind :], [Thus, we have done 5 things here :], [Now, we can setup Private Routes to safeguard certain routes on our frontend app], [Thus, by simple implementation of features from React Router, we have simply just inherited the shared information (on current user's authentication) from our context by using our custom hook, and setup redirection in case the information is faulty], [This is how we can easily integrate authentication into our frontend React app using Firebase auth.], [If you're more interested in this, I would highly recommend you to explore the Authorization and Role Based Access Control features that Firebase has to offer.], [Also, check out this amazing YouTube tutorials to learn more about this !!], [Get the latest posts delivered right to your inbox], [17 Apr 2022 – 17 min read], [An examination of a new method of structuring your component driven applications in a systematic manner], [A refresher on managing, monitoring and optimizing async API calls using the React Query library], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
D3 and Next,9 APR 2021,"[https://blog.ankitsanghvi.in/content/images/2021/04/dataviz-meme.jpeg], [https://blog.ankitsanghvi.in/content/images/2021/04/Screenshot-from-2021-04-11-10-40-26.png], ","[A brief explainer on creating fast, interactive dashboards and data visualizations with D3.JS and Next.JS], [Read more posts by this author.], [D3 and Next are the perfect combination for seamlessly creating reusable, extensible and component-driven interactive dashboards that can be used in literally any industry you can imagine.
With Next JS we can weild the high speed and performance powers to make the UI/UX even more pleasing due to prefetching of all the data that the dashboard is populated with. To learn more about Next JS, refer to my blog here :], [Data Driven Documents JS aka D3.js is a javascript library to render the amazing charts based on data. It can be used to:], [“D3 helps you bring data to life using HTML, SVG, and CSS. D3’s emphasis on web standards gives you the full capabilities of modern browsers without tying yourself to a proprietary framework, combining powerful visualization components and a data-driven approach to DOM manipulation.”
~d3js.org], [Well, charts are based on information coming from third-party resources which requires dynamic visualization during render time. SVG is a very powerful tool which fits well to this application case.], [SVG stands for Scalable Vector Graphics which is technically an XML based markup language.], [It is commonly used to draw vector graphics, specify lines and shapes or modify existing images. You can find the list of available elements here.], [Pros:], [Here, we are going to build a very simple data visualization using D3 and Next JS that shows the population of the 10 most populous countries in the form of a simple horizontal bar chart], [The code for this app has been properly committed and document by me in this GitHub repo for your perusal], [Start by initializing the Next JS project and adding the D3 js NPM package], [The data for all this visualization has been easily made accessible by me on this GitHub Gist, feel free to explore and tweak it; else just use the URL below in your project], [GitHub Gist], [Direct URL], [https://gist.githubusercontent.com/crew-guy/e1ae0b5db6ace5eda68bc8fb9e903576/raw/UN%2520World%2520Population%2520Dataset%2520-%2520Sheet1.csv], [I have abstracted all the logic for data prefetching in - src/helpers/fetchData.js. Here, we have used the d3.csv() function to parse the data as per my liking and just extracted  2020's population for the top 10 most populous nations], [For this part, I have simply used the component development tech to create separate components for the data marks and both the axes and just integrated it all, along with the data fetching logic in my landing page file Next JS], [In the main file, I have used the scaleBand, scaleLinear and max functions from d3 to setup the scale and the axis of the overall rendered SVG chart.], [Also, I have written the getStaticProps( ) function to prefetch all the data (as defined in the code in the fetchData.js file) in advance for a performance boost.], [Apart from that, this is just pretty basic React JS logic on rendering components using the array of data fetched], [Thus, the final rendered chart looks like this !], [This is just the sliver of the beginning of we can craft powerful and completely customized data visualization by the wielding the holy trifecta - D3, Next and SVG], [There are no limitations to what you can create now. Maybe the next big stockbroking platform or the next Google Trends will be yours. Who knows ?], [If you liked this article then be sure to check out these crazy amazing links containing tutorials as well as brilliantly designed data visualizations], [Get the latest posts delivered right to your inbox], [Using the iterator pattern to abstract unnecessary complications in iteration logic as type of collection changes], [Understanding how the state-change-reactiveness of modern software is implemented by studying the state pattern], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
State Pattern,8 APR 2021,"[https://test-bucket-1841.s3.amazonaws.com/blog-images/design-patterns/memento-pattern/eye.gif], ","[Understanding how the state-change-reactiveness of modern software is implemented by studying the state pattern], [Read more posts by this author.], [The State Pattern is what is implemented under the hood in most of the popular web development, reactive frameworks like React JS, Angular JS, Next JS, Vue JS, Svelte JS and many others too !], [Given a situation where you want part of the program to behave differently based on the state of another part of the program, you use the state pattern], [Eg : On clicking a internal page's link in a reactive web app, the main page component gets changed whereas the navbar and footer stay constant.], [The source code for all prominent design patterns has been properly implemented and documented in this GitHub repostitory by me.], [Here, in this article, we will be building a simple application that mimics digital illustration softwares like MS Paint, Photoshop, Sketch etc. in the sense that when a different tool (Brush, Selection, Eraser), a different function is executed when the mouse is moved up or moved down], [It can be either implemented as an abstract parent class or as an interface in all OOP languages. It just has to enlist the methods that all classes extending it have to polymorph in their own way for providing the - ""same interface - different function"" feature.

This choice is made simply by asking : Do I want my functionalities to have some code in common apart from the definition of their methods ? If yes, then implement state as an abstract parent class otherwise implement it as an interface], [We will just define class that just calls and accesses different tools based on different inputs from our side], [Also, we will be using an enum to specify the different kind of tools that are available for use.], [Import all the necessary classes and modules into main.java for a final showdown of our application ! Here, I'll be using the Eraser Tool for demo but you can go with whichever tool you prefer out of the 3 that we have built], [Congrats on unlocked the secret of how most reactive applications work under the hood. You should feel pretty comfortable now developing the state responsive functionalities in your applications. Until next time...], [Whatever I have learnt and implemented here in code as well as the explanation is all from the teachings of the brilliant Mosh Hamedani and his course on Design Patterns which I would recommend you to take if you are really interested in exploring the beauty of Object Oriented Programming], [Get the latest posts delivered right to your inbox], [16 Apr 2021 – 5 min read], [15 Apr 2021 – 5 min read], [12 Apr 2021 – 5 min read], [A brief explainer on creating fast, interactive dashboards and data visualizations with D3.JS and Next.JS], [An excerpt on implementing undo mechanism in software applications using the Memento Pattern], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
React Query,4 APR 2021,,"[A refresher on managing, monitoring and optimizing async API calls using the React Query library], [Read more posts by this author.], [While most traditional state management libraries are amazing at client side state management, the complex problems of the server state need to be dealt with.], [This is because server state is totally different. For starters, server state:], [Once you grasp the nature of server state in your application, even more challenges will arise as you go, for example:], [Much of theory though, let's get rolling by creating a simple react component using react query to fetch some data from a server], [Basically we just need to do 3 things :], [Easily implemented in 2 steps:], [i) Setup a client using the QueryClient constructor], [ii) Pass it down as context to all child components using a QueryClientProvider], [2. Define a function that makes this call], [2. useQuery hook : Use this react hook to fetch, configure and optimize everything about your async API calls.], [Basically in steps 2 and 3, we have also carefully passed parameters to the useQuery hook and used them in our API call function. This is yet another cool feature that the useQuery hook offers], [Now, combining it all in a ChildComponent we can show this on the UI], [A collection of highly powerful and insightful tools that help visualize all of the inner workings of React Query and will likely save you hours of debugging if you find yourself in a pinch!], [You can easily integrate them into your project with just 2 lines of code in the parent file !!], [This is how async API call management can be effectively handled from a React JS frontend. I hope you have learnt something of value and wish you the very best of luck on your developer journey.], [2. You are feel free to browse through the code of my integration of React Query in a Next JS frontend], [Get the latest posts delivered right to your inbox], [14 Apr 2022 – 3 min read], [12 Apr 2021 – 2 min read], [10 Apr 2021 – 4 min read], [A tutorial on authenticating your frontent React apps with Google Firebase Auth service], [A guide on getting started with Database Management System with PostgreSQL], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
"Crawling, Indexing and Deindexing",3 APR 2021,,"[A brief explanation about the fundamentals of SEO and how the search engine basically ranks webpages], [Read more posts by this author.], [
], [If a web page is indexed, Google will be able to crawl and index that page. Once you deindex a page, Google will no longer be able to index it.], [eg : By default, every WordPress post and page is indexed.], [It’s good to have relevant pages indexed because the exposure on Google can help you earn more clicks and bring in more traffic, which translates into more money and brand exposure.], [But, if you let parts of your blog or website that aren’t vital be indexed, you could be doing more harm than good.], [DUPLICATE PAGES : Basically pages containing duplicate content], [Here is a set of guidelines to get deindexed really effectively.], [Get the latest posts delivered right to your inbox], [6 Apr 2021 – 4 min read], [An introduction to the state management with Redux and a mini project to further strenghten the concept.], [An explainer on how atomic design redefines and restructures building large interfaces by testing UI components on the most elemental levels.], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Redux,4 APR 2021,,"[An introduction to the state management with Redux and a mini project to further strenghten the concept.], [Read more posts by this author.], [Basically, different components of the UI have their state dependent on a central place, where, if you change data, you start seeing changes in the UI components.], [It is the most popular solution for state management in all JavaScript frontend applications whether they be in React, Angular, Vue, Svelte or just plain'ol Javascript], [It works on the fundamentals of functional programming where usage of pure functions is done to prevent any mutation of data to], [More on functional programming and object immutability can be found brilliantly here :], [STORE =>], [ACTION =>], [REDUCER => This is just a function that defines the stores updates, based on the action object received], [Here, we will be creating a small bug tracking application to understand how a redux store is designed and implemented based on the requirements.], [2. actionCreators.js => This file basically defines functions to create action objects. The functions are something that can be called from the UI  interactions and the action objects created basically involve 2 main properties], [2. reducer.js => This file defines what mutations must be performed on the store when an action of a certain type is dispatched.], [3.  store.js => This file involves creation of a store that follows the norms set forth by the reducer and the action files.], [The window.__REDUX_DEVTOOLS_EXTENSION__ && window.__REDUX_DEVTOOLS_EXTENSION() parameter is just passed to the createStore method to sync it with the chrome extentsion - Redux Dev Tools], [5. index.js => Just an arbitrary example of how any file can subscribe to the store updates and pass actions to it.], [Sometimes you may wish for > 1 reducers to operate on the store. This is where you come in and combine them both into one and push it to the store.], [Congrats ! You have everything you need now to become a next level frontend engineer. Redux may be painfully verbose but it's undeniably the most powerful tool for state management in production level applications], [Get the latest posts delivered right to your inbox], [14 Apr 2022 – 3 min read], [12 Apr 2021 – 2 min read], [10 Apr 2021 – 4 min read], [A guide on getting started with Database Management System with PostgreSQL], [A brief explanation about the fundamentals of SEO and how the search engine basically ranks webpages], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
Server Push API with gRPC,31 MAR 2021,,"[Using gRPC to create Publish Subscribe model involving server-push-client-listen], [Read more posts by this author.], [gRPC allows a one-word implementation to write an API where a client requests for data once but the server returns a stream of data], [This is done due to the fact that gRPC runs on HTTP2, so resource multiplexing comes into the picture and helps server keep pushing data while the client listens for it], [I have committed all the protofiles in detailed branches at this github repository for your perusal], [This is the file structure that I have followed while designing this API.], [In this exercise, we will be building a Prime Number Decomposition API using server streaming], [The function takes a Request message that has one integer, and returns a stream of Responses that represent the prime number decomposition of that number], [This is pretty basic and will involve], [Here, the stream keyword next to PnResponse is of key importance as it tells gRPC to generate code accordingly such that the function called from the client will return a stream of responses], [Packages required : protoc, grpc-tools], [We get PnServiceService and PnServiceClient generated from the ""grpc-tools"" module that will act on our proto to create the client and service (server)], [Whereas, the protoc will simply generate the Request and Response objects and give us getters and setters on them], [Here the inside the main project directory, we have a client, server and protos subdirectory. Currently, we are generating the API from proto file in the protos directory into the protos subdirectory inside the server directory], [Import the necessary dependencies. Here,], [Define the function that will handle the request and return a response. This function is what we defined in the proto file and this is also the function that will be callled from the client], [Import the necessary dependencies.], [Setup a client using the proto generated code], [Configure and send the request object], [Handle the response received on the client side], [Congratulations ! You are now equipped with the futuristic skills of server-push-client-stream type API designing. Thanks a lot for reading this blog. If you like more content like this, subscribe to my mailing list], [Get the latest posts delivered right to your inbox], [2 Apr 2021 – 4 min read], [2 Apr 2021 – 4 min read], [10 Mar 2021 – 4 min read], [Understanding the client push API setup using gRPC], [Using a smarter approach to structuring and writing CSS], [Stay up to date! Get all the latest & greatest posts delivered straight to your inbox], [True inspiration is impossible to fake], "
